cloAtm_GNOS.007.C10.13.2024.152.46711.0122.03.0000_bin.ROX

file type: A
DATA_INTEGRETY_OCC_CLO: 100.00%
DATA_INTEGRETY_REF_CLO: 50.99%
DATA_INTEGRETY_OCC_OPE: 89.00%
DATA_INTEGRETY_REF_OPE: 50.50% 

START OF OBS CLO
TIME 2024-05-31 12:58:46.380000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.400000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.420000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.440000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.460000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.480000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.500000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.520000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.540000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.560000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.580000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.600000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.620000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.640000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.660000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.680000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.700000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.720000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.740000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.760000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.780000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.800000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.820000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.840000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.860000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.880000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.900000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.920000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.940000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.960000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:46.980000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.020000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.040000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.060000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.080000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.100000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.120000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.140000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.160000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.180000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.200000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.220000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.240000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.260000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.280000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.300000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.320000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.340000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.360000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.380000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.400000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.420000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.440000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.460000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.480000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.500000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.520000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.540000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.560000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.580000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.600000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.620000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.640000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.660000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.680000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.700000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.720000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.740000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.760000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.780000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.800000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.820000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.840000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.860000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.880000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.900000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.920000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.940000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.960000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:47.980000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:48.020000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:48.040000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:48.060000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:48.080000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:48.100000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:48.120000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:48.140000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:48.160000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:48.180000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:48.200000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:48.220000 
C13  ['C2I', 'C6I'] 
TIME 2024-05-31 12:58:48.240000 
